"質詢編號","屆","會期","會次","委員","刊登日期","事由","說明"
"11-1-6-23",11,1,6,"吳宗憲","2024-03-20","本院吳委員宗憲，鑑於衛福部於本（3）月 4 日廢止掛號費用調整備查制度，取消健保掛號費上限，此舉引發民間反彈；若就此將掛號費收費全權交由各醫療院所自行決定，美其名曰回歸市場機制，然而將產生的後續效應無可估量，醫療單位想漲就漲，又並無新設或加強現行防堵聯合漲價行為之機制，可能將貶抑民眾就醫意願以及增加其於醫療上之付出。爰此，建請全民健保主管機關衛生福利部，研議暫緩廢止掛號費上限，特向行政院提出質詢。","一、依《全民健康保險法》第 4 條：「本保險之主管機關為衛生福利部。」；依同法第 5 條第 一項第四款，有關保險政策、法規之研究與諮詢由衛福部下轄之健保會辦理。本次既涉及 健保掛號費之規範，故建請衛福部予研議。 二、承上，衛福部日前亦指出掛號費從七十幾年便定位為行政費用，沒有法律依據加以限制， 向來由衛福部（從前之衛生署）決定並公告實行之；本席認為非無疑義，故應比照上點一 併交由部會商討、採量各方意見後決議是否亦納入《健保法》等相關法規加以規範。 三、依照《健保法》第 51 條第十款，病人交通、掛號、證明文件不列入健保給付範圍，故本部 分負擔全數由人民自行承擔；因此，為負起中央應負之責任，充分保障民眾之生命身體法 益及財產權，政府更應積極作為，若逕直拔除收費上限之規定，恐難將費用之收取持續維 持於合理範圍內。 四、根據家扶基金會公布的「2018 年弱勢家庭健康醫療調查」，受訪的 1,264 戶家庭中，有 1,626 個生病人口，其中達 23.8%家庭的工作收入難以負擔醫療費用；在「醫療貧窮」並不 少見的狀況下，社會上相對弱勢者因不能或者不捨得花錢看病，而將「小病拖成大病」的 案例更是屢見不鮮，比如曾經有案例年長者遲遲不肯就醫，導致原先普通的外傷傷口持續 感染，最終患上蜂窩性組織炎。因此，政府應正視醫療費用加諸弱勢群體的負擔甚鉅，逕 行取消掛號費上限必然將使這類人群更難透過醫療行為獲得健康，實欠缺考慮。"
"11-1-7-24",11,1,7,"丁學忠","2024-03-27","本院丁委員學忠，鑑於半導體業為我國重要產業，行政院各機關對廠商進駐全臺灣各地園區規劃極為重要。近年來台灣積體電路公司因技術不斷提升，於各地區設廠需求規劃大幅增加，為考量區域平衡及各項條件，建請經濟部與國科會等單位，請行政院應儘速規劃並協助台灣積體電路公司新世代廠設置於雲林縣產業園區，特向行政院提出質詢。","台灣積體電路公司（下稱台積電公司），已宣布啟動下一世代設廠建置計畫，並已於去年接 洽雲林縣政府實際進行訪查，有鑑於半導體公司為我國重要產業，台積電更為全國重要擁有高階 技術之領導廠商，為求技術安全應優先將先進製程設置於國內。經檢視，全國各地科技園區之條 件，雲林縣虎尾地區擁有完備條件，不僅交通便利，透過高鐵至雲林後，出站五分鐘就可抵達中 部科學園區虎尾園區，貨物輸出也可就近透過鄰近的麥寮港快速完成貨運。另目前檢視全臺，也 僅有雲林縣有單一土地面積可達 1,200 公頃之園區土地，可立即啟動大型晶圓廠規畫設置，不缺 水電，又有雲林科技大學、虎尾科技大學的人才。行政院下轄有經濟部及國家科學委員會等機關 ，主要規劃國內科學園區分布與協助建廠等工作，建請儘速輔導台積電設置於雲林縣。"
"11-1-7-25",11,1,7,"羅智強","2024-03-27","本院羅委員智強，有鑑近期發生社會矚目之嚴重虐兒致死案件，衛福部所提「社會安全網推動情形及策進作為」顯有不足，未有明確訂定未來精進及防範機制，難強化現行兒童收托照顧制度未盡之處，特向行政院提出質詢。","在本次報告中提到「地方政府分工非中央政府權責，地方政府應明確跨科（室）案件分工合 作機制；如涉有跨縣（市）爭議者，由中央協助釐清。」，然本案委託之兒聯盟是由中央單位所 委託，難免會讓民眾感到中央單位，有刻意指地方政府分工不明確，撇清責任的觀感，應當針對 中央與地方權責，邀集地方政府進行研議。 在衛福部保護服務司的統計中，從 106 年到 112 年上半年度的「兒童及少年保護─遭父母、 照顧者等家庭成員施虐死亡之人數及原因」數據有歷年有 14-29 名不等的孩子，包含嚴重受虐死 亡、嚴重疏忽死亡、殺子後自殺的狀況而離開人世。 但我們所見的統計僅有「家內受虐致死」，本次個案狀況卻是屬於家外，過去是否有類似統 計？請在兩週內提供，近十年之家外受虐與受虐致死統計數量。 此外，在本次個案中，台北市政府於 2023 年 12 月 25 日接獲通報後，在 12 月 25 日、27 日 就曾二度向衛福部反應要啟動「重大兒虐檢討會議」，但衛福部先說不是家內施虐所以不開案， 後來又說跨科室業務需要研議，再無回復。現行對於「重大兒虐檢討會議」的定義跟要求是什麼 ？後續檢討之機制為何，請一併彙整後，送本辦公室。 從衛福部所整理之時間表可發現，北市社會局在整個期間，沒有收到兒福聯盟的任何異常通 報，當然北市社會局依規要一年訪視四次，在 9 月 26 日完成訪視後，接著的下一次是 12 月初。 但在過程中，衛福部的是否有接收到來自兒福的通報，無論是 9 月 26 日第一次看到看到案童頭 上瘀青，第二次安靜，較無精神，第三次有異常掉牙的情況。衛福部是否有接收到相關通報？ 民進黨發言人指，男童死前理應前往查訪 4 次的台北市社會局只去了 1 次。但依居家式托育 服務提供者登記及管理辦法第 18 條規定：首次訪視，應於收托後 1 個月內進行；提供全日、夜 間托育服務者，「每年訪視 4 次」。 本案孩童 9 月始托，北市居服中心 9 月 26 日就前往訪視，並依中央政府各項指引評估，當 次並無異狀；後續應由中央政府委託的兒福聯盟社工定期 1 個月訪視 1 次，了解兒童照顧狀況。 前述所指，一年訪視 4 次，如果兒童在 9 月收托，也是要在 12 月之前完成四次訪視嗎？ 【若收托家庭染疫，衛福部指導為何？】 外界有傳言，台北市居托中心原先預計 12 月中下旬原預計無預警訪視，但 12 月 21 日接獲 保母主動通知同住家人確診訊息，所以延期，現在衛福部對於保母打給訪視員說有人確診，請問 訪視員應該去，還是不應該去？ 訪視員所訪視的對象，往往都是免疫力高敏感的群體，如果已經有接獲通知了，還要訪視員 前往，本來就因為人力吃緊的訪視員因此病倒，反而造成整個體系的崩壞；甚而還有可能因為因 為染疫，而造成連帶其他被訪視的個案受感染。衛服部現行提供給訪視員參考之指導原則為何？ 【要求建立共訪機制】 衛福部所提送報告中，提及未來會強化「收出養媒合機構訪視機制：強化媒合機構之社工之 專業知能及對兒童虐待之敏感度與辨識能力，並提升訪視頻率、建立訪視機制及標準化流程」， 確實有助於本次系統性的缺失修復。 然而社工長期低薪過勞，又要承受沉重的心理壓力。近年來社工系學生實際投入社工領域工 作的約只有 25%。資深社工不斷離職、新進社工不願投入。各地方政府保護性社工現有人力只有 合理員額 5 成，工作量無疑倍增。 有關「檢討重大兒虐事件處理機制：各級政府應明確分工，屬重大兒虐案件之主管權責應以 負責保護服務體系之主管單位為主責」，在這邊提到的「保護服務體系之主管單位為主責」是指 誰？是中央還是地方，這點還是要講清楚，不然又變成未來權責不清。 本次個案是新北市出養的孩子，由中央委託兒福聯盟，兒福聯盟找到保姆，保姆是在臺北市 執業。希望能透過共訪機制，讓更多人能夠注意到問題，就可以避免這樣的事情發生。所以包括 委託方、受託方、保姆轄管方，有共訪機制的建立，希望中央地方一起來做。 在共訪機制建立前，已要求社會局即刻提高訪視頻率，對於出養孩子在中繼受保姆托育，提 高至每月訪視一次；對於全日托育，就是一整天都在保姆家的全日托育的情形，提升至每年至少 6 次。另外大家很關心保姆的領證、考核、評鑑以及家長推薦這樣的機制，也請衛福部跟地方社 會局即刻來規劃。 另，未來針對家庭狀況較特殊、無依靠或家庭失能，沒有辦法即刻回到原生家庭等的孩子， 除了讓保母成為出收養之前的中繼外，希望寄養家庭也能成為選項。臺北市已經修法提高對於寄 養家庭的獎勵金，希望透過增加量能，讓更多人加入這個行列，發揮相關的功能。"
"11-1-7-26",11,1,7,"李坤城","2024-03-27","本院李委員坤城，鑑於機場捷運 A2 三重站及 A3 五股產業園區站相距 3.8 公里，地方民眾及民意代表認為距離過長，呼籲中間增設 A2a 站，嘉惠周邊眾多民眾，爰請行政院排除萬難研議機場捷運 A2a 站增設之可能性，特向行政院提出質詢。","一、捷運 A2 三重站及 A3 五股產業園區站中間距離超過 3.8 公里站距過長。該處位於二重堤防 旁，鄰近二重重劃區及舊市區，該區附近有穀保中學、東海高中、二重國中、二重國小、 三重商工等學區，通勤通學捷運人口眾多，實有增設 A2a 站之必要。 二、長久以來，A2a 站一帶其經濟及交通發展不如三重其他區域發展快速，為均衡三重區域發展 ，在地居民皆引頸企盼此一重大公共交通建設能早日完成，爰要求行政院務必研議機場捷 運 A2a 站增設之可能性。"
"11-1-7-27",11,1,7,"李坤城","2024-03-27","本院李委員坤城，鑑於民國 95 年 1 月 25 日制定之都市更新事業優惠貸款要點，實施以來，案件量未達預期，其中貸款期限上限六年，恐是讓業者怯步之主因，爰要求行政院檢討依個案狀況適度延長，特向行政院提出質詢。","一、內政部為落實都市更新，引導民間投資都市更新，帶動營建產業，提振經濟景氣，以運用 中期資金協助民間籌措都市更新事業資金。行政院於民國九十五年一月二十五日制頒之都 市更新事業優惠貸款要點。 二、要點第十點規定，貸款期限最長不得超過六年，寬限期視個案狀況由承貸金融機構評定， 至少一年。然都市更新案即使事業計畫經核定後，若遇釘子戶拆遷不易，以正義國宅都更 案為例於 96 年 12 月 7 日核定 96 年 12 月 7 日核定事業計畫後，後因建築物外觀及內部均 重新設計，100 年 9 月 7 日提出變更計畫案，103 年 3 月 17 日變更計畫核定，直到 106 年 2 月獲得銀行聯貸案才破土動工。 三、由於大面積之都市更新案整合困難，都市更新事業優惠貸款要點貸款期限上限六年，不符 合現狀之需求，爰要求行政院檢討依個案狀況予以分類適度延長。"
"11-1-7-28",11,1,7,"羅智強","2024-03-27","本院羅委員智強，有鑑於全臺各地建物老化所衍生安全問題日益嚴峻，近日於臺北市發生老舊公寓疑因年久失修、結構難以維持，導致地板塌陷，然現行推動老舊及危險建物更新之成效並不顯著，隨法令規範獎勵逐年下降，喪失鼓勵民眾實施之誘因，針對內政部現有鼓勵措施及政策推行辦法，特向行政院提出質詢。","有鑑於全臺各力建物老化狀況日益嚴峻，近日發生老舊公寓疑似因年久失修、結構難以維持 ，導致地板塌陷，原兩層樓之建物變一樓。經查全臺灣經內政部截至 113/01/31 統計「危老重建 計畫受理及核准案件數統計表」中，臺北市在「重建計畫受理數 989 件」及「重建計畫核准數 913 件」皆為全國最高，但對比現有之危險及老舊建築物數量，推動城市建築翻新仍亟待中央、 地方政府共同努力。 另查《建築物基礎構造設計規範》、《混凝土結構設計規範》實施公告後，近 20 年新建之 建築，更為符合臺灣特殊地理環境特性，亦透過「建築物耐震設計規範與解說」重新制定各個區 域耐震係數，結構設計、鋼筋材質、混凝土磅數等相關建築安全要求愈發周延，相形 20 年以上 之老舊建物更新，具有急迫性，待政府協助加強建築物的耐震能力及老舊結構強化。 內政部現有「階段性補強專案辦公室」所推出老屋補強政策，在政策宣傳及推廣上有不足之 處，使一般民眾對此知悉程度低，內政部應說明現行推動「建築物實施耐震能力評估及補強方案 」之積極宣傳辦法。 目前我國已逐步針對公有建築物進行耐震能力評估與補強，或是拆除重建，全面提升其耐震 能力。在私有建物上，為鼓勵民眾因應潛在災害風險，加速都市計畫範圍內危險及老舊瀕危建築 物之重建，改善居住環境，提升建築安全與國民生活品質，訂有《都市危險及老舊建築物加速重 建條例》條例，以及為促進都市土地有計畫之再開發利用，復甦都市機能，改善居住環境與景觀 ，增進公共利益，制定《都市更新條例》。 即便是相對簡易的危老重建平均仍需耗時兩年，前述兩條例在訂定獎勵容積規定時，均訂定 落日時程陸續減少獎勵；隨著獎勵條件下滑，致使本就因更新、重建成本高而卻步的民眾，後續 實施意願愈發降低。 為有利我國賡續推動都市更新及危老重建，保障居民生命財產之安全，請內政部提出書面答 覆，是否有持續規畫相關獎勵計畫，鼓勵民眾參與實施。"
"11-1-8-29",11,1,8,"黃健豪","2024-04-03","本院黃委員健豪，鑑於行政院陳建仁院長接受本院總質詢時承諾，中華民國第十六任總統賴清德偕同新任內閣 5 月 20 日就 任 前， 除 電價 確 定將 調 漲外 ， 其餘 公 用事 業 均凍 漲 。 然消 息指出臺鐵、高鐵及公路客運正研議將進行票價調漲。為維護民生需求、民眾權益及落實內閣責任政治之精神，特向行政院提出質詢。","一、電價調整導致各行各業經營成本提高，電價上漲的外溢效應提前浮現，用電大戶的大眾運 輸首當其衝，電價確定在 4 月調漲之後，臺鐵、高鐵及公路客運正研議票價調漲。 二、5 月 20 日新政府上台後目前內閣是否留任尚未定論。基於責任政治原則，政府應為其政策 負責，大眾運輸業此時調漲，倘相關決策官員在新內閣組成後均未留任，似也無法追究政 治責任，輕則影響民生，重則傷害民主。 三、爰要求行政院應再次承諾在 5 月 20 日新政府上台之前，除電價調漲外，其餘公用事業費率 均不應調漲，以維護國人權益。"
"11-1-9-30",11,1,9,"羅智強","2024-04-10","本院羅委員智強，有鑑於台灣電力公司近幾年燃煤量與碳排量均居高不下，火力電廠超額，是以造成排碳恐無碳權可抵減，與環境部長期政策相左，特向行政院提出質詢。","有關環境部至今已召開兩場碳費費率審議會，是否已訂定費率？倘未能達成原訂第一季公布 費率之承諾，碳費徵收費率時程一再延宕，恐讓本國企業無所適從，請查復碳費徵收費率 時程延宕之原因。"
"11-1-9-31",11,1,9,"羅智強","2024-04-10","本院羅委員智強，有鑑於台灣電力公司營運長期累積龐大的負債等諸多問題，以及近幾年燃煤量與碳排量均居高不下，火力電廠超額，是以造成排碳恐無碳權可抵減之情況，特向行政院提出質詢。","一、查台灣電力公司近年來負債總額呈逐年攀升趨勢，自 103 年底債務餘額 1 兆 7,319 億元（占 比 89.90%），至 111 年底增至 2 兆 1,980 億元（占比 94.52%），本院預算中心研究成果估 計，台電公司於 112 年底負債總額將增至 2 兆 4,155 億元（占比 97.09%），顯見台電公司 營運有所缺漏，相關檢討因應措施為何？ 二、據台電統計，年燃煤量在二千七百至二千八百萬噸之間，年排碳量介於九千一百萬噸到九 千八百萬噸，比第一階段的目標值八八五六萬噸高出許多。目標若未達成，經濟部的相關 處置為何？ 三、環境部於 2010 年曾為誘導產業減碳，對積極減碳者核發「先期碳權」，事業單位可拿先期 碳權抵減做「碳中和」，台電公司也各動支四百十一點七萬噸及九百五十二萬噸先期碳權 ，抵減 2020 及 2021 年火力電廠的超額碳排。如今台電公司面臨因火力電廠超額，而排碳 恐無碳權可抵減之情形，台電公司要如何解決？"
"11-1-11-39",11,1,11,"羅智強","2024-04-24","本院羅委員智強，針對現行醫事人員專業加給之不足，為展現我國政府對醫事人員之重視與鼓勵，提升新進人員入職拉力與 在 職人 員 久任 誘 因， 應 予以 調 整相 關 辦法 ， 特向 行 政 院提出質詢。","教育部為因應高教人才斷層危機，提出提升教研人員待遇政策，針對公立大專校院助理教授 以上教師學術研究加給 15%，現行我國之醫療、護理人力破洞越來越大，許多醫院更因為護理師 人力不足，病床無法開滿，連帶影響醫療服務量能。依據衛福部護理及健康照護司所統計「近五 年護理人員空缺率及離職率」顯示，2022 年護理人員空缺率為 6.53%、約 8,000 多人，其中尤以 急診護理人員最為缺乏，而總離職率達到 11.73%。不少醫事科系畢業生未執業原因，均指向執 業環境太差。 現行衛福部以推動三班護病比、夜班費獎勵、友善醫院職場營照作為主要留任手段，然成效 未見明顯，應以更為實質的手段激勵醫事人員，穩定整體醫療環境的人員穩定性，對比高教人才 斷層，當前醫事人才流失同樣嚴峻，本席認為衛福部應研議提高醫事人員之專業加給調整幅度， 以彰顯政府對於醫事人員近年之辛勞。對此，衛福部目前是否有相關計畫研議，請以書面答覆本 辦公室。 另查，醫事人員之公務人員專業加給表，區分同職系醫事人員之專業加給，分為「各級政府 機關」與「公立醫療機構及公立學校」，同為醫事人員經「考試院專門職業及技術人員高等考試 醫事人員考試」取得證書，以護理師為例，醫療機構的臨床單位所獲得加給低於衛生局等行政單 位，縱使因服務機關、機構之不同性質，訂有不同支給數額，人事行政總處、衛福部因重新考量 各機關、機構之職責程度差異，以此訂定待遇之合理差異，莫讓公立醫療機構之臨床單位感受到 剝奪感。"
"11-1-11-40",11,1,11,"羅智強","2024-04-24","本院羅委員智強，有鑑於少子女化問題成為了國安危機，教育部投入了大筆資源，透過向私立帅兒園、托兒所購買服務的方式，推行準公共化模式，欲落實帄價教保服務。惟家長、帅托業者及教師均不滿意現行政府政策之落實成果，特向行政院提出質詢。","在 2022 年的兒童節，總統蔡英文曾透過臉書表示「育兒的事情，政府一定繼續努力，要當 台灣家長的神隊友」，因此打算再度增加公共化幼兒園班級數，請問蔡政府的公共化幼兒園方 向，乃至於後續賴政府的公共化幼兒園之方向，是否將「準公共化」視為公共化指摽，不再提 升公立、非營利機構數量？期以「準公共化」代替公立、非營利機構。 然而根據 2023 年「臺灣育兒現況調查報告」之調查指出，公立幼兒園家長的滿意度 最高 8.6，準公共化幼兒園家長的滿意度最低 8.09。現行教育部自行所彙調查數據為何？其中 家長最不滿意的項目為何？請以書面資料答覆本辦公室。 根據民團調查指出，當前家長優先選擇托幼機構的三大主因，分別為「學費高低」、「師資 品質」以及「是否有違規紀錄」。我國自 2018 年起，政府為補足公幼不足，推出準公共化幼兒 園政策，由政府與私立幼兒園簽約、給予補助，提供家長較平價的教保服務。雖稱作「準公幼」 ，不過本質上仍是私人業者經營，與一般私立幼兒園同被歸類在私幼體系。針對 2019 年，教育部 曾提出預計 2024 年前增加 3,000 班，並達到國小校校都有附幼。目前計畫辦理顯未達標，背後 主要原因為何？是否放棄原設定主軸，以增設公立、非營利幼兒園之目標？請明確說明教育部 後續之政策主軸為何。 現行家長最有疑慮的，就是在於準公共化機構的品質，對家長來說，「準公共化」不單單 只是政府擴充平價教保服務的一種配套機制，家長認為這是政府認證管理的服務。然而以準 公共幼兒園來前，超過三成五的準公幼有照顧不佳的情形，六都準公幼的違規率超過三成，皆 顯示出政府在擴增的同時又未能有效評核其教保品質。教育部所提出改善與精進方案為何？ 近五年全台違規樣態與案件量，再請以書面資料答覆本辦公室。 從教育部「學前教育概況」統計來看，非營利幼兒園的比例慢慢在提升，過去教育部推動 準公幼時，曾表示準公共機制只是公幼擴充過程的過渡措施，但教育部每年大幅提升準公幼的 經費補助，甚至已逼近擴大公幼的預算。當前對於公立、非營利機構的增設目標為何？所遇到 障礙為何？ 實際上從 2023 年的《中華民國教育統計》，就讀公私幼的幼生數量比例大約是 67：33， 還是接近 7：3 整體還有很巨大的差異，現階段教育部應該再次盤點資源來加速非營利幼兒園的 比例，才能做出家長所在意的品質控管與價格比。另外，根據民間幼教協會統計，目前在公營/ 非營利/互助式幼兒園就讀的幼兒人數占比約 26%，但每人每月補助約 1.8 萬，相比於私幼（15%） 和未就學幼兒（30%）占比 45%，月補貼卻只有 5,000 元，以一個孩子 3 年補助費來看，差距可能 高達近 50 萬。這其實就有很嚴重的育兒資源分配不均的情況。公幼、非營利、互助式幼兒園並 非能涵蓋所有幼兒，在部分家庭因名額無法擠入到這些補助較多的幼兒園時，其實就有很嚴重 的托育不公平現象。繳差不多的稅，補助卻天差地遠，無疑讓讀私幼、未就學幼兒的家長， 經濟不公的待遇。建議教育部應當從經濟公平性來檢討目前的補助落差。 另，請說明教育部新的簽約辦法是什麼，應儘快公布，給幼兒園有充足的時間思考。當前 政府緩慢的公立、非營利機構設置，使「準公共化」機構在提供平價、可負擔的服務上，扮演 吃重角色，行政院應該發揮指揮協調功能，讓優質的「準公共化」機構在配合政府政策方向時 ，能夠有所依循，也真正達成政策的規劃目標。 【教保員薪資問題】 在新聞媒體上，有幼兒園的業者無奈說，現在幼教老師難找，很多園所都因師生比不符而 違規，因為幼兒園很常臨時找不到老師，卻也常因此被罰，估計有一半以上的準公幼都有違規 紀錄，如果一違規就不能續約，相信全台超過一半的準公幼都要退出。距離新簽準公共幼兒園 時間不到半年，教育部會因此而打算放寬嗎？ 政府從 2018 年推出準公共化機制，用補助私立幼托機構以大量提供平價教保服務方式來快速 解決民眾的送托需求，降低家長的負擔。同時也設定了教保人員的薪資底限，期待藉由提升或 保障幼托人員的薪資來降低高流動率與缺工的情形，但此一目標並未達成。 對於幼教科系之畢業生不願從事幼教工作。政府單位應正視主要結構問題，從根本改善教保 環境來解決缺工的問題。才不會陷入惡性循環，準公共化機構在招募上難以補齊人力而造成 違規，又因違規引發難以續約的狀況發生。 短期而言，教育部應該要確實讓準公共化幼托機構的幼托人員能如實獲得政府所規範保障。 長期而言，政府應該要大量擴充公共化幼托機構（公立、非營利幼兒園、公辦民營托嬰中心） 的量能，訂出公共化機構的時間表，才能有望達成加速公共化、減輕家長負擔、改善教保人員 薪資、穩定教保服務品質及提升幼兒入園率為政策目標，藉此提升我國生育率。 幼教聯合總會在 2022 年的調查，其訪問全台 1089 間業者，有在徵才的比例高達 68%，形同 全台都在徵才。而找不到人的最主要原因，高達 44%，竟然是無人應徵。而離職的原因，最主要 的原因，則是轉換職場，不再從事幼教，高達 45%。從數據來看，整個幼教產業，願意進入的 人少，流失的人又是直接離開，缺人問題愈加嚴重，這顯然不只是個別業者問題，而是整個產業 的問題，想請問教育部，有沒有什麼政策來協助幼教業者解決人才流失、人才斷層的問題？"
"11-1-11-41",11,1,11,"顏寬恒","2024-04-24","本院顏委員寬恒，因 4 月 15 日晚間台電桃園大潭電廠跳機，導致臺灣供電吃緊，備轉容量率一度低於 3%，險致北臺灣大停電，特向行政院提出質詢。","一、自 0403 大地震後，台電四部機組接連發生問題，4 月 15 日晚間桃園大潭電廠新 8 號機組 跳機，更使備轉容量率僅剩 2.8%，讓臺北、基隆險些陷入停電風波。惟靠台積電出手， 自備的 36 萬瓩柴油發電機與核電廠的柴油發電機都上線供電，才使北臺灣免於停電危機。 然而，短短不到一天的時間，桃園藝文特區晚間又大停電，讓民眾不免認為台電停電已 常態化。 二、目前 4 月就已發生限電及停電危機，備轉容量率更是一度剩 2.8%，不免讓民眾憂心用電 高峰期的夏季是否亦會發生同樣的狀況，屆時所需的電量勢必會比現今多出許多。又， 台電估計今年尖峰負載將會創歷史新高，增加至 4,100 萬瓩，現尚未夏季就已需靠企業出手 才能化險為夷，難以想像若是夏季會造成怎樣的災難。 三、本席認為在供電方面，台電應避免常常發生跳機導致限電及停電等問題，這不僅會造成 企業經濟方面的損失，更是帶給人民生活上巨大的不便。再者，本席更要求在陷入危機時 ，台電要有及時解決的能力，而不是要求企業減少用電，甚至需靠企業出手救援。"
"11-1-11-42",11,1,11,"羅智強","2024-04-24","本院羅委員智強，有鑒臺灣首座 IC 設計海外基地，確定落腳捷克布拉格，據查我國投入新臺幣 120 億元設置 IC 設計海外訓練基地，而晶創方案總體則為斥資新臺幣 3,000 億元經費吸 引 國際 人 才， 故 針對 海 外基 地 之投 資 規劃 ， 特向 行 政 院提出質詢。","IC 半導體產業為我國之重要戰略產業，同時為全球科技業重要供應節點，依據台灣半導體 產業協會（TSIA 所）公布最新統計，2023 年台灣 IC 產業產值約 4.34 兆元，約占台灣國內生產 毛額（GDP）13%左右。台灣在全球半導體供應國仍可占穩第二名的位置，僅次於美國，而領先 韓國、日本、歐洲、中國大陸、新加坡等地。 然而，在全球與地緣政治之影響下，各科技大國紛紛開啟半導體產業的新競合時代，台積電 成為各國競相邀請至當地的投資首選、全球晶圓代工業者生產基地更趨多元。台積電熊本一廠 於二月份開幕，而接續興建熊本二廠，產線從 40 奈米到 6 奈米，滿足當地汽車業對車用晶片 等等需求。台積電所提出的海外設廠計畫，分別是美國亞利桑那州、日本熊本及德國德勒斯登。 先進製程、下世代技術研發根留我國也才能成為此波全球供應鏈重組變局下的最佳談判 籌碼。因而行政院提出「晶片驅動臺灣產業創新方案」（簡稱「晶創臺灣方案」），規劃 113-122 年挹注 3,000 億元經費，培育、引進晶片人才與新創奠基 10-20 年後的科技國力，轄下 重要目標之一為「打造全球頂尖 IC 設計訓練基地」。 然而從國科會吳正忠主委受訪時證實，規劃多時的台灣第一座積體電路（IC）設計海外訓練 基地，確定將落腳捷克首都布拉格，預計 9 月正式營運，可望連結台歐產業鏈發展，打造國際化 的晶片設計人才培育平台。是否有現行預期吸引關鍵人才來台的目標有相違背？ 根據金融時報報導，我國與捷克於 2023 年 11 月所簽署聯合援助烏克蘭重建的工作備忘錄 、2021 年的供應鏈韌性計畫，亦涉及晶片產業的研發與設計，各項計畫主要方向為何？會屬於 「晶創臺灣方案」一部分嗎？ 該外國媒體稱，捷克科技部門的一名匿名官員透露，臺灣曾許諾投入不少於 3,300 萬美元用 於「台捷民主夥伴供應鏈韌性計劃」（Mega/Multi-Project），並詳細承諾其中「先進晶片設計 研究中心」（ACDRC）和「供應鏈韌性中心」（SCRC）兩項重點專案撥款分別為 1,350 萬美元 和 600 萬美元，然而捷克方面至今尚未見到關於該專案的任何一筆經費，而且臺灣還進一步 利用該專案威脅捷克在政治上給予臺灣更多的「尊重」和「利益」，然據傳相關經費未及時 撥發，造成捷克方不滿，甚至欲暫緩相關合作計畫。該兩項專案具體費用是如媒體報導，相關 進度為何？是否即為「IC 設計海外訓練基地」計劃？ 目前「IC 設計海外訓練基地」設置於捷克，未來是否會有其他於歐洲各國的合作案與模式 ，當前「IC 設計海外訓練基地」的設計費用是完全由台灣來出資嗎？後續該中心與「先進晶片 設計研究中心」和「供應鏈韌性中心」的所有權歸屬與管理為台灣，亦或是由合作方所有？ 研調機構 IDC 最新報告指出，地緣政治因素干擾下，半導體產業鏈產生新的區域發展變化 ，預期 2027 年台灣在全球晶圓代工、封測市占率都將下滑，其中，晶圓代工市占率將由 2023 年 的 46%降至 43%，封測市占則恐失守五成大關。為確保我國之國際與經濟關鍵地位，行政院亦 提出「晶創臺灣方案」，足顯示半導體產業於台灣重要程度，相關科技背景的國際人才與技術 吸引來台為首要任務，而非持續將產能與技術外移，況政府所挹注 3,000 億元經費為鉅款，請 行政院務必嚴格把控，切莫讓台灣花了鉅資卻又流失相關技術與人才，與培育、引進晶片人才 的目標背道而馳。上述計畫之進度、經費撥用、預計成效與後續資產歸屬等方案，請在一週內 提供本辦公室完整說明。"
